Company,Permno,IpoDate
Geonex,10557.0,1986-08-08
Stars To Go,10556.0,1986-08-08
WearEver-Proctor Silex,10558.0,1986-08-08
Adelphia Communications,10564.0,1986-08-12
American Television & Commun,10570.0,1986-08-12
County Savings Bank,10565.0,1986-08-12
Integrated Computer Graphics,10587.0,1986-08-12
Penn Savings Bank F.S.B.,10562.0,1986-08-12
Seamen's,70180.0,1986-08-12
Adobe Systems,75510.0,1986-08-13
Banking Center,10569.0,1986-08-13
Devon Group,10572.0,1986-08-13
Eateries,10571.0,1986-08-13
ARUS,75511.0,1986-08-14
Altai,10578.0,1986-08-14
Mars Graphic Services,70148.0,1986-08-14
Matthews & Wright Group,70156.0,1986-08-14
NFS Financial,10580.0,1986-08-15
Worchester Cnty Instn for Svgs,10581.0,1986-08-15
Quipp,10586.0,1986-08-18
Dime Savings Bank of New York,10594.0,1986-08-19
Oxford Energy,72389.0,1986-08-19
Roadrunner Enterprises,10589.0,1986-08-19
Transnational Industries,10593.0,1986-08-19
EQK Green Acres LP,69921.0,1986-08-20
New York City Shoes,10595.0,1986-08-20
Axlon,10599.0,1986-08-21
Cistron Biotechnology,10601.0,1986-08-21
Thermo Process Systems,75099.0,1986-08-21
Total Health Systems,10602.0,1986-08-21
Union Valley,70244.0,1986-08-21
Watts Industries,10606.0,1986-08-21
Marble Financial,10610.0,1986-08-26
Polymer International,75512.0,1986-08-26
City Savings Bank of Meriden,10617.0,1986-08-27
First Republic Bancorp,10623.0,1986-08-27
P&C Foods,10614.0,1986-08-27
Westerbeke,10622.0,1986-08-27
Le Peep Restaurants,10626.0,1986-08-28
Tintoretto,10627.0,1986-08-28
Ediner,10635.0,1986-09-03
SCS/Compute,10633.0,1986-09-03
Canonie Environmental Services,10634.0,1986-09-04
QVC Network,10636.0,1986-09-05
Lakeland Industries,10645.0,1986-09-09
Theragenics,10644.0,1986-09-09
PAM Transportation,10649.0,1986-09-10
Boulevard Bancorp,10651.0,1986-09-11
CMS Advertising,10688.0,1986-09-11
Med-Mobile,10659.0,1986-09-11
"MidConn Bank,Kensington,CT",10654.0,1986-09-11
"University Bk NA,Newton,MA",10653.0,1986-09-11
Victoria Creations,10652.0,1986-09-11
Roadway Motor Plazas,10706.0,1986-09-12
Acuson,75469.0,1986-09-16
Golden Valley Microwave Foods,10662.0,1986-09-16
Excel Bancorp,10670.0,1986-09-17
VTX Electronics,70260.0,1986-09-17
Beverly Savings,10673.0,1986-09-18
Insituform Southeast,10676.0,1986-09-18
Pulawski Savings Bank,10675.0,1986-09-18
Enviropact,75220.0,1986-09-19
Mr Rooter,10680.0,1986-09-19
J Bildner & Sons,10678.0,1986-09-22
"United Svgs Bk,Great Falls,MT",10682.0,1986-09-22
Duramed Pharmaceuticals,10685.0,1986-09-23
Sage Analytics International,10687.0,1986-09-23
San Francisco Federal S&L,10683.0,1986-09-23
Stanley Interiors,10681.0,1986-09-23
HealthSouth Rehabilitation,10693.0,1986-09-24
Informix,10691.0,1986-09-24
FIserv,10696.0,1986-09-25
Golden Poultry,10704.0,1986-09-25
ICN Biomedicals,10705.0,1986-09-25
Marten Transport,75517.0,1986-09-25
Peoples Savings Bank MA,10697.0,1986-09-25
SCOR US,10702.0,1986-09-25
Manatron,10709.0,1986-09-26
Reliance Group Holdings,70172.0,1986-09-26
New Line Cinema,70893.0,1986-09-30
Corrections Corp of America,10716.0,1986-10-01
Gulf & Mississippi,10714.0,1986-10-01
Knutson Mortgage,10712.0,1986-10-01
Life Technologies,10713.0,1986-10-01
MICRO Healthsystems,10837.0,1986-10-01
Arizona Commerce Bank,70367.0,1986-10-02
Armor All Products,10721.0,1986-10-02
J2 Communications,11745.0,1986-10-02
New England Critical Care,75518.0,1986-10-02
Airlease Ltd,70316.0,1986-10-03
Datarex Systems,70551.0,1986-10-03
Land's End,75232.0,1986-10-03
Pioneer Financial Services,10724.0,1986-10-03
Professional Agricultural Mgmt,10729.0,1986-10-03
American Consumer Products,10733.0,1986-10-07
Gruen Marketing,70666.0,1986-10-07
Baldwin Piano & Organ,10745.0,1986-10-08
Chips and Technologies,10738.0,1986-10-08
Commonwealth Mortgage of Amer,10742.0,1986-10-08
IDB Communications Group,10739.0,1986-10-08
Joule,75071.0,1986-10-08
Microwave Labs,10737.0,1986-10-08
Starpointe Savings Bank,10740.0,1986-10-08
"Framingham Savings Bank,MA",10755.0,1986-10-09
Perkins Family Resturant,70930.0,1986-10-09
Carmike Cinemas,10750.0,1986-10-10
Frontier Insurance Co,10753.0,1986-10-10
Home Fed S&L Assn Upper E TN,10754.0,1986-10-10
Reuter Laboratories,10756.0,1986-10-10
Scientific Systems,10748.0,1986-10-10
Heritage Financial Services,10757.0,1986-10-14
Applied Control Systems,10764.0,1986-10-15
Bank of S Carolina-Charleston,10781.0,1986-10-15
Carmel Container Systems Ltd,70447.0,1986-10-15
La Quinta Motor Inns LP,70789.0,1986-10-15
Michael Anthony Jewelers,10761.0,1986-10-15
American Nursery Products,10763.0,1986-10-16
Chemical Waste Management,70471.0,1986-10-16
West Newton Savings Bank,10762.0,1986-10-16
Central Co-Operative Bank,10769.0,1986-10-17
Convex Computer,10765.0,1986-10-17
Inmac,10768.0,1986-10-17
Krisch American Inns,10767.0,1986-10-17
Morino,10766.0,1986-10-17
Outright Industries,10773.0,1986-10-17
Angell Care Master LP,70340.0,1986-10-21
Hamptons Bancshares,10771.0,1986-10-21
Southern Electronics,10772.0,1986-10-21
HemaCare,10775.0,1986-10-22
Johnstown Savings,10774.0,1986-10-22
Vacations To Go,10776.0,1986-10-22
Fairhaven Savings Bank,10782.0,1986-10-23
Fred Meyer,76563.0,1986-10-23
InFerGene,10789.0,1986-10-23
"People's Savings Bank,Brockton",10780.0,1986-10-23
California Micro Devices,10785.0,1986-10-24
Liberty All Star Equity Fund,70797.0,1986-10-24
Shorewood Packaging,10790.0,1986-10-24
UniCare Financial,10788.0,1986-10-24
WTD Industries,11747.0,1986-10-24
"Carolina First,Greenville,SC",10825.0,1986-10-27
Commercial Credit,70519.0,1986-10-29
Donegal Group,11748.0,1986-10-29
Shaw's Supermarkets,10784.0,1986-10-29
Silicon Graphics,10791.0,1986-10-29
AmeriFirst Federal S&L,10797.0,1986-10-30
Home Unity S&L,10798.0,1986-10-30
POP Radio,10796.0,1986-10-30
"EA Engineering, Science",10800.0,1986-10-31
Metro Mobile CTS,10801.0,1986-10-31
Motel 6 LP,70869.0,1986-10-31
Olympic Broadcasting,10805.0,1986-10-31
US Facilities,10803.0,1986-10-31
Branford Savings,10809.0,1986-11-04
Industrial Training Systems,10810.0,1986-11-04
Criterion Group,10811.0,1986-11-05
Heartland Express,10812.0,1986-11-05
InSpeech,10818.0,1986-11-05
Scott & Stringfellow Financial,10821.0,1986-11-05
Vestar,10820.0,1986-11-05
BHA Group,10828.0,1986-11-06
Continental Medical Systems,10827.0,1986-11-06
Gainsco,10822.0,1986-11-06
Satellite Auction Network,10826.0,1986-11-06
UNUM,71175.0,1986-11-06
Atari,70375.0,1986-11-07
Blinder Intl Enterprises,10840.0,1986-11-07
Milwaukee Insurance Group,10835.0,1986-11-07
Precision Aerotech,70981.0,1986-11-07
Strober Organization,10830.0,1986-11-07
CytRx,10838.0,1986-11-10
Horizon Financial Services,10839.0,1986-11-10
Cortronic,10848.0,1986-11-12
Epitope,10860.0,1986-11-12
Fresh Juice,10847.0,1986-11-12
Griffith Consumers,10841.0,1986-11-12
SAZTEC International,10842.0,1986-11-12
Huffman Koos,10845.0,1986-11-13
Initials +,10852.0,1986-11-13
Irwin Magnetic Systems,10844.0,1986-11-13
Harman International,75224.0,1986-11-14
National Video,10853.0,1986-11-14
Pilgrim's Pride,70965.0,1986-11-14
Clairson International,10861.0,1986-11-18
Elcotel,10863.0,1986-11-18
HDR Power Systems,10869.0,1986-11-19
Farragut Mortgage,10872.0,1986-11-20
Home Savings Bank,10877.0,1986-11-20
Jones Intercable Investors LP,70762.0,1986-11-20
PHP Healthcare,10870.0,1986-11-20
Right Management Consultants,10876.0,1986-11-20
Robert-Mark,72602.0,1986-11-20
Security Federal Savings Bank,10873.0,1986-11-20
Strategic Planning Associates,10871.0,1986-11-20
Versar,71191.0,1986-11-20
Coca-Cola Enterprises,70500.0,1986-11-21
Merchants Group,75176.0,1986-11-21
Edgcomb Corp,10884.0,1986-11-25
National Health Enhancement,10893.0,1986-11-25
PCS,10885.0,1986-11-25
Aristech Chemical,70359.0,1986-11-26
Brokers Securities,10894.0,1986-11-26
Carolco Pictures,70455.0,1986-11-26
Empire of America FSB,70586.0,1986-11-26
Wilmington Svgs Fund Society,10892.0,1986-11-26
Arcturus,10936.0,1986-12-02
Ehrlich Bober Financial,75056.0,1986-12-02
Senior Service,75526.0,1986-12-02
Anchor Financial,10902.0,1986-12-03
Essex Communications,10907.0,1986-12-03
Skyline Chili,10905.0,1986-12-03
Boston Celtics LP,70391.0,1986-12-04
"Peoples Heritage Finl Group,ME",10906.0,1986-12-04
Allwaste,10914.0,1986-12-05
CR-PL,10915.0,1986-12-05
Cerner,10909.0,1986-12-05
Hunter Environmental Services,10910.0,1986-12-05
LPL Investment Group,75231.0,1986-12-05
Uni-Marts,10908.0,1986-12-05
Carolina Mountain Holding,10922.0,1986-12-08
Aaron Brothers Art Marts,10921.0,1986-12-09
Mayfair Industries,10918.0,1986-12-09
Ideal School Supply,10925.0,1986-12-10
Lane Financial,10920.0,1986-12-10
Micron Products,70850.0,1986-12-10
Trust America Service,75190.0,1986-12-10
Micro Imaging Systems,10943.0,1986-12-11
Organogenesis,10928.0,1986-12-11
Petroleum Heat and Power,70949.0,1986-12-11
Pulitzer Publishing,10929.0,1986-12-11
Vista Chemical,71204.0,1986-12-11
Boston Acoustics,10935.0,1986-12-12
Brown Transport,10934.0,1986-12-12
Lexington Savings Bank,10931.0,1986-12-12
Markel,10933.0,1986-12-12
Tomsun Foods International,10940.0,1986-12-12
"Webster Financial,Waterbury,CT",10932.0,1986-12-12
Buckeye Partners LP,70420.0,1986-12-16
Dryclean USA,10948.0,1986-12-16
Insituform Gulf South,10964.0,1986-12-16
LaserLand USA,10949.0,1986-12-16
Quiksilver,75527.0,1986-12-16
Xsirius Scientific,10950.0,1986-12-16
Alliant Computer Systems,10953.0,1986-12-17
Benjamin Franklin Federal S&L,10958.0,1986-12-17
Citizens Savings Bank F.S.B.,10957.0,1986-12-17
Citizens Security Group,75529.0,1986-12-17
Computerised Medical Systems,10979.0,1986-12-17
First Federal of Alabama,10974.0,1986-12-17
Georgia Gulf,75222.0,1986-12-17
Investors Savings,10959.0,1986-12-17
LecTec,10966.0,1986-12-17
Prime Motor Inns LP,71028.0,1986-12-17
SAGE Software,75528.0,1986-12-17
Landmark Technology,72207.0,1986-12-18
Airgas,70308.0,1986-12-19
Consumer Plastics,10980.0,1986-12-19
Honeybee,70711.0,1986-12-19
MDC Asset Investors,70818.0,1986-12-19
MTech,10973.0,1986-12-19
Reeds Jewelers,10972.0,1986-12-19
"Tolland Bank, Tolland, CT",10977.0,1986-12-19
Winchell's Donut Houses,71212.0,1986-12-19
Hemodynamics,10992.0,1986-12-22
Alpha 1 Biomedicals,10986.0,1986-12-23
Falcon Cable Systems,70607.0,1986-12-23
Gundle Environmental Systems,70674.0,1986-12-23
Lowrance Electronics,10984.0,1986-12-23
Vision Sciences,10988.0,1986-12-23
Dick Clark Productions Inc,11005.0,1987-01-07
Crestmont Federal S&L,75531.0,1987-01-09
Radon Testing of America,11016.0,1987-01-12
Citizens Savings Bank,11022.0,1987-01-14
Fulton Federal S&L of Atlanta,11021.0,1987-01-14
Nichols Research,11020.0,1987-01-14
Baldwin Technology,71538.0,1987-01-15
Finest Hour,11024.0,1987-01-15
ISI Systems,72098.0,1987-01-16
Outlet Communications,11031.0,1987-01-21
"Standard Federal Bank,Troy,MI",72688.0,1987-01-21
Western Auto Supply,11030.0,1987-01-21
Group 1 Software,11036.0,1987-01-22
Insituform Mid-America,11035.0,1987-01-22
MDT,11037.0,1987-01-22
Psychemedics,11043.0,1987-01-22
Network Equipment Technologies,11038.0,1987-01-23
Roosevelt Federal Savings,11045.0,1987-01-23
Environmental Power,11048.0,1987-01-27
Belvedere,71554.0,1987-01-28
Federated Financial S & L,11050.0,1987-01-28
Presto-Tek,11052.0,1987-01-28
Cash America Investments,75215.0,1987-01-29
Bermuda Star Line,71562.0,1987-02-03
Brandon Systems,11065.0,1987-02-03
Delta Woodside Industries,11062.0,1987-02-03
"Eagle Financial,Torrington,CT",11064.0,1987-02-03
Bamberger Polymers,75035.0,1987-02-04
"Indiana Fed S&L,Valparaiso,IN",11066.0,1987-02-04
MBS Textbook Exchange,11070.0,1987-02-04
Catch A Rising Star,11079.0,1987-02-05
Musicland Group,72311.0,1987-02-05
TechVend,11111.0,1987-02-05
Charter Power Systems,71685.0,1987-02-06
Emerald Homes,71845.0,1987-02-06
SSE Telecom,77247.0,1987-02-06
Margo Nursery Farms,11082.0,1987-02-09
Photon Technology Intl,11089.0,1987-02-09
Atlantic Restaurant Ventures,11090.0,1987-02-10
Crown Brands,11094.0,1987-02-10
Bell Savings Bank PaSA,11096.0,1987-02-11
Cleopatra Kohlique,11098.0,1987-02-11
Data Med Clinical Support Svcs,11102.0,1987-02-11
First Georgia Savings Bank,11095.0,1987-02-11
Interstate General,72135.0,1987-02-11
University Science Partners,11101.0,1987-02-11
Wavetech,11100.0,1987-02-11
HIMONT,72055.0,1987-02-12
System Software Associates,11103.0,1987-02-12
Today Home Entertainment,11110.0,1987-02-12
Bradens,11117.0,1987-02-13
Medmark Group,75533.0,1987-02-17
Oncor,11119.0,1987-02-17
Continental Homes Holding,11124.0,1987-02-19
Marci International Imports,11125.0,1987-02-19
Pan Atlantic Re,11123.0,1987-02-19
Adtec,11128.0,1987-02-24
Foodmaker,71933.0,1987-02-24
Visual Graphics,72928.0,1987-02-24
Brooklyn Savings Bank,11130.0,1987-02-25
Fidelity National Financial,71909.0,1987-02-25
AMRE,75149.0,1987-02-26
Cannon Express Inc,11139.0,1987-02-26
Capital Associates Intl,11136.0,1987-02-26
Excelan,11135.0,1987-02-26
Parlux Fragrances,11137.0,1987-02-26
Schult Homes,11141.0,1987-02-26
Sensor Control,11138.0,1987-02-26
Elexis,11142.0,1987-02-27
Fruit of the Loom,71984.0,1987-03-03
Montclair Savings Bank,11145.0,1987-03-05
Riverbend International,72581.0,1987-03-05
Sidari,11150.0,1987-03-05
Telematics International,11147.0,1987-03-05
Ecology and Environment,71837.0,1987-03-06
Sono-Tek,11153.0,1987-03-06
EasTek,11158.0,1987-03-10
Hospital Newspapers Group,11166.0,1987-03-10
Photronic Laboratories,11154.0,1987-03-10
Action Auto Rental,11160.0,1987-03-11
Jennifer Convertibles,11161.0,1987-03-11
Mesa Airlines,11162.0,1987-03-11
California Energy,11170.0,1987-03-12
Galaxy Cablevision LP,71992.0,1987-03-12
General Building Products,11169.0,1987-03-12
Orbis,11171.0,1987-03-12
Corken International,11175.0,1987-03-13
Advanced Marketing Technology,11191.0,1987-03-18
"Allied Bankshares,Thompson,GA",11186.0,1987-03-18
Brinkmann Instruments,19335.0,1987-03-18
First Fed S&L Salt Lake City,11189.0,1987-03-19
MMR Holding,11188.0,1987-03-19
Meridian Insurance Group,11187.0,1987-03-19
Petrolane Partners LP,72442.0,1987-03-19
Agouron Pharmaceuticals,11192.0,1987-03-20
Hako Minuteman,11194.0,1987-03-20
Candlewood Bank & Trust,75536.0,1987-03-24
National Heritage,75467.0,1987-03-24
Automedix Sciences,11205.0,1987-03-25
Escagen,71888.0,1987-03-25
Phoenix Reinsurance,11203.0,1987-03-25
Xylogics,11202.0,1987-03-25
Applied Bioscience Intl,11211.0,1987-03-26
Consolidated Rail,71765.0,1987-03-26
Crop Genetics International,11212.0,1987-03-26
Marsam Pharmaceuticals,11209.0,1987-03-26
Oriental Federal Savings Bank,11208.0,1987-03-26
Total Research,11214.0,1987-03-26
United Savings and Loan,11207.0,1987-03-26
Allstar Inns LP,75004.0,1987-03-27
Country Wide Transport Svcs,11217.0,1987-03-27
Praxis Biologics,11218.0,1987-03-27
Quality Food Centers,11215.0,1987-03-27
Antonovich,11226.0,1987-03-31
First Fed S&L Wooster,11225.0,1987-03-31
Rise Technology,11221.0,1987-03-31
AME,11231.0,1987-04-01
Portage Industries,75084.0,1987-04-02
Action Auto Stores,11239.0,1987-04-07
Kingston Systems,11240.0,1987-04-07
Maritrans Partners LP,75077.0,1987-04-07
Red Lion Inns LP,75087.0,1987-04-07
Amplicon,11246.0,1987-04-08
Shopco Laurel Centre LP,75095.0,1987-04-09
CareAmerica,11257.0,1987-04-14
Axiom Systems,11428.0,1987-04-15
Fisher Transportation Services,11258.0,1987-04-15
Freymiller Trucking,11259.0,1987-04-15
Rexworks,11265.0,1987-04-21
Cato,11267.0,1987-04-22
Cedar Fair,75041.0,1987-04-23
Germantown Savings Bank,11269.0,1987-04-23
Transpirator Technologies,11272.0,1987-04-23
ABM Gold Corp,75001.0,1987-04-24
Prospect Park S&L,11273.0,1987-04-24
Psychiatric BioScience,75242.0,1987-04-24
Diversco,11276.0,1987-04-27
Davox,11277.0,1987-04-28
Sharper Image,11278.0,1987-04-28
Beauty Labs,11281.0,1987-04-29
First Bancorp,11285.0,1987-04-30
Oak Tree Construction Computer,11284.0,1987-04-30
Sequent Computer Systems,11283.0,1987-04-30
Michael Foods,11291.0,1987-05-01
Envirosafe Services,11294.0,1987-05-05
High Resolution Sciences,11298.0,1987-05-05
Tiffany,75100.0,1987-05-05
Tons of Toys,11302.0,1987-05-06
Horizon Healthcare,75068.0,1987-05-07
Shearson Lehman Brothers Hldg,75093.0,1987-05-07
A&W Brands,11307.0,1987-05-08
Allegheny Ludlum,75002.0,1987-05-08
The Malaysia Fund Inc,75076.0,1987-05-08
English Greenhouse Products,11319.0,1987-05-11
Surgidyne,11311.0,1987-05-11
Bay Area Recovery Centers,75543.0,1987-05-12
Osborn Communications,11314.0,1987-05-12
American Medical Technology,11337.0,1987-05-14
Cumberland Federal Savings,11327.0,1987-05-14
FFP Partners LP,75057.0,1987-05-14
Graphic Packaging,75544.0,1987-05-14
Management Technologies,11326.0,1987-05-14
Peoples Savings Bank FSB,11320.0,1987-05-14
Raritan Bancorp,11322.0,1987-05-14
Washington Bancorp,11323.0,1987-05-14
Washington Federal Savings W,11321.0,1987-05-14
Boys Markets,11329.0,1987-05-15
Convergent Solutions,11330.0,1987-05-15
Easco Hand Tools,11331.0,1987-05-15
Digital Microwave,11347.0,1987-05-19
Jay Jacobs,11344.0,1987-05-19
Liposome Technology,11346.0,1987-05-19
Microcom,11339.0,1987-05-19
Nellcor,11345.0,1987-05-19
One Price Clothing Stores,11342.0,1987-05-19
Sanderson Farms,11343.0,1987-05-19
Century Bancorp,11348.0,1987-05-20
Jetborne International,11349.0,1987-05-20
MFS Government Market Income,75075.0,1987-05-20
National Imaging,11351.0,1987-05-20
New Jersey Steel,11350.0,1987-05-20
Data Technology,11352.0,1987-05-21
Reich & Tang,75088.0,1987-05-21
Topps,11353.0,1987-05-21
Budget Rent-A-Car,11356.0,1987-05-22
Criticare Systems,75545.0,1987-05-22
Showcase Cosmetics,11362.0,1987-05-26
Komag,11365.0,1987-05-28
Waterhouse Investor Services,11366.0,1987-05-28
Audiovox,75033.0,1987-05-29
HealthCare COMPARE,11371.0,1987-05-29
Lawson Mardon Group Ltd,75074.0,1987-05-29
Calgon Carbon,11378.0,1987-06-02
Designs,11379.0,1987-06-02
Maryland Federal S&L,11377.0,1987-06-02
Gateway Fed Savings and Loan,75546.0,1987-06-03
LJ Simone,11380.0,1987-06-03
Osicom Technologies,11381.0,1987-06-03
Proffitt's,11382.0,1987-06-03
Wellman,11384.0,1987-06-03
Alpharel,11385.0,1987-06-04
Insta Cool of North America,11394.0,1987-06-04
Nasta International,75079.0,1987-06-04
Time Management,11386.0,1987-06-04
Resource Engineering,75090.0,1987-06-05
Security Savings and Loan,11390.0,1987-06-05
Southwall Technologies,11393.0,1987-06-05
First Federal of Western PA,11399.0,1987-06-09
CNS,11411.0,1987-06-10
ECAD,11403.0,1987-06-10
Intl Microelectronic Products,11401.0,1987-06-10
Uno Restaurant,75103.0,1987-06-10
Fisher Business Systems,11408.0,1987-06-11
Impact Systems,11409.0,1987-06-11
Essef,11416.0,1987-06-12
ImmunoTherapeutics,75549.0,1987-06-15
Aldus,11422.0,1987-06-16
Interspec,11424.0,1987-06-16
Jason,11425.0,1987-06-16
Mid-America Racing Stables,11461.0,1987-06-16
Brandywine Savings Bank,11429.0,1987-06-17
Downey Designs International,11431.0,1987-06-17
"Greater NY Svgs Bk,New York,NY",11430.0,1987-06-17
Multi-Local Media,11432.0,1987-06-17
Nuveen Municipal Value Fund,75082.0,1987-06-17
Samna,11427.0,1987-06-17
Xeta,11426.0,1987-06-17
Ecogen,75055.0,1987-06-18
Spectramed,11434.0,1987-06-19
Builders Design,11451.0,1987-06-23
First Federal S&L E Hartford,11449.0,1987-06-23
HWC Distribution,11443.0,1987-06-23
Midwest Communications,11445.0,1987-06-23
Mycogen,11450.0,1987-06-23
Addington Resources,11452.0,1987-06-24
Colorado Prime,75048.0,1987-06-25
FMC Gold,75058.0,1987-06-25
HOH Water Technology,11460.0,1987-06-25
Hunter-Melnor,11454.0,1987-06-25
Image Retailing Group,11458.0,1987-06-25
Integon,11436.0,1987-06-25
Plant Genetics,11457.0,1987-06-25
Showscan Film,11459.0,1987-06-25
Wisconsin Toy,11453.0,1987-06-25
Formica,75163.0,1987-06-26
Raleigh Federal Savings Bank,11462.0,1987-06-26
TJX Companies,75098.0,1987-06-26
Tecogen,11465.0,1987-06-26
Intelligent Electronics,11475.0,1987-06-30
Timberland,75101.0,1987-06-30
Advanced Marketing Services,11483.0,1987-07-01
Delphi Information Systems,11481.0,1987-07-01
Forstmann,75164.0,1987-07-01
LDI,11480.0,1987-07-01
MBIA,75175.0,1987-07-01
MicroAge,11484.0,1987-07-01
Oppenheimer Capital,75180.0,1987-07-01
TechKnits,11725.0,1987-07-01
CoastAmerica,75155.0,1987-07-02
E-II Holdings,75158.0,1987-07-02
Specialty Equipment Companies,75187.0,1987-07-02
Quadrax,11492.0,1987-07-07
United Coasts,11489.0,1987-07-07
Hills Department Stores,75170.0,1987-07-08
Elmwood Federal Savings Bank,11497.0,1987-07-09
Health Concepts IV,11523.0,1987-07-09
Tucker Holding,11495.0,1987-07-09
Frances Denney Companies,11503.0,1987-07-10
Pathe Computer Control Systems,11504.0,1987-07-10
Vikonics,11508.0,1987-07-14
Benihana National,11510.0,1987-07-15
Ceramics Process Systems,11511.0,1987-07-15
First Bank of Philadelphia,11518.0,1987-07-15
Hilb Rogal & Hamilton,11509.0,1987-07-15
Renaissance GRX,11521.0,1987-07-16
Summit Technology,11522.0,1987-07-16
St Ives Laboratories,11525.0,1987-07-17
FileNet,11531.0,1987-07-21
Corporate Software,11532.0,1987-07-22
Eliot Savings Bank,11537.0,1987-07-22
Fair Issac & Company,11533.0,1987-07-22
Home Office Reference Lab,11534.0,1987-07-22
National Insurance Group,75551.0,1987-07-22
CONMED,11547.0,1987-07-23
Chase Medical Group,11546.0,1987-07-23
Everex Systems,11549.0,1987-07-23
Media Logic,11541.0,1987-07-23
Optek Technology,11539.0,1987-07-23
Pricor,11545.0,1987-07-23
Sahara Casino Partners LP,75184.0,1987-07-23
Carnival Cruise Lines,75154.0,1987-07-24
Celgene,11552.0,1987-07-28
ABIOMED,75107.0,1987-07-29
"Amax Gold, Inc.",75111.0,1987-07-29
Price Pfister,11555.0,1987-07-29
ProNet,11554.0,1987-07-29
Continental Graphics,75156.0,1987-07-30
Monitek Technologies,11559.0,1987-07-30
NDL Products,11560.0,1987-07-30
Onondaga Savings Bank,11558.0,1987-07-30
Indepth Data,11569.0,1987-08-03
"First Essex Bancorp,Andover,MA",11574.0,1987-08-04
Larizza Industries,75173.0,1987-08-04
Polar Molecular,11573.0,1987-08-04
United Building Services,11572.0,1987-08-04
All American Semiconductor,75554.0,1987-08-05
Applied Power,11581.0,1987-08-05
Original Italian Pasta,11582.0,1987-08-05
American Consulting,11583.0,1987-08-06
Digital Optronics,11580.0,1987-08-06
LANSystems,11577.0,1987-08-06
Melamine Chemicals,75553.0,1987-08-06
Mgmt Company Entertainment Grp,11584.0,1987-08-06
Thrifty Rent-A-Car System,11585.0,1987-08-06
Jan Bell Marketing,75172.0,1987-08-10
Eastern Environmental Services,11591.0,1987-08-11
Teradata,11592.0,1987-08-11
Xscribe,11590.0,1987-08-11
Eastex Energy,11595.0,1987-08-12
Entronics,11596.0,1987-08-12
GENDEX,11600.0,1987-08-12
IndTech,11597.0,1987-08-12
Morsemere Financial Group,11603.0,1987-08-12
"Premier Bankshs,Bluefield,VA",11598.0,1987-08-12
SNL Financial,11593.0,1987-08-12
Unigene Laboratories,11601.0,1987-08-12
Coachman,11611.0,1987-08-13
Lillian Vernon,75174.0,1987-08-13
Starstream Communications,11604.0,1987-08-13
Domain Technology,11605.0,1987-08-14
Northland Cranberries,11614.0,1987-08-18
Winston Furniture,75195.0,1987-08-18
Harding Associates,75557.0,1987-08-19
Telemundo Group,11617.0,1987-08-19
Alliance Imaging,11620.0,1987-08-20
Fastenal,11618.0,1987-08-20
J.T. Moran Financial,11621.0,1987-08-20
Jepson,75229.0,1987-08-20
Provena Foods,11622.0,1987-08-20
McCaw Cellular Communications,11626.0,1987-08-24
Intellicall,11630.0,1987-08-25
Advanced Polymer Systems,11636.0,1987-08-26
Atek Metals Center,11635.0,1987-08-26
Atlantis Group,75150.0,1987-08-27
Cell Technology,11641.0,1987-08-27
Multi-Color,11638.0,1987-08-27
Poseidon Pools of America,11640.0,1987-08-27
Stevens Graphics,75189.0,1987-08-27
CAM Data Systems,11656.0,1987-09-02
Longwood Group,11665.0,1987-09-02
Optifab,11657.0,1987-09-02
Earth Technology USA,11661.0,1987-09-03
Harold's Stores,11663.0,1987-09-03
International Bankcard Svcs,11668.0,1987-09-03
ValCom,11662.0,1987-09-03
Walshire Assurance,11660.0,1987-09-03
Goldtex,11670.0,1987-09-04
First Federal Bancorp,75161.0,1987-09-10
Rainbow Technologies,11678.0,1987-09-10
Wedding Information Network,11676.0,1987-09-10
Sunrise Preschools,11820.0,1987-09-11
Vitel Fiber Optics,11717.0,1987-09-14
Galaxy Cheese,11681.0,1987-09-15
Memory Sciences,11679.0,1987-09-15
EMCON Associates,75560.0,1987-09-16
Vision Technologies Intl,11696.0,1987-09-17
Wheelabrator Technologies,11684.0,1987-09-17
Winston Resources,75196.0,1987-09-17
JM Peters,11694.0,1987-09-18
Entree,11699.0,1987-09-21
United Shoppers of America,11702.0,1987-09-21
Cambrex,11707.0,1987-09-22
Centex Telemanagement,11706.0,1987-09-22
Charles Schwab,75186.0,1987-09-22
Ingles Markets,11701.0,1987-09-22
Cable Exchange,11714.0,1987-09-23
Dataphaz,11708.0,1987-09-23
Piedmont Mining,75561.0,1987-09-23
Norton Enterprises,11715.0,1987-09-24
Penn Treaty American,11713.0,1987-09-24
Union Texas Petroleum Holdings,75193.0,1987-09-24
Catalyst Thermal Energy,11718.0,1987-09-25
Centel Cable Television,11719.0,1987-09-25
First Fed S&L Charlotte County,11720.0,1987-09-25
ARCO Chemical,75106.0,1987-09-28
Flextronics,11724.0,1987-09-28
Centrac Associates,11734.0,1987-09-29
Garnet Resources,11726.0,1987-09-29
Generation 5 Technology,11729.0,1987-09-29
Structural Dynamics Research,11723.0,1987-09-29
Advatex Associates,11737.0,1987-09-30
Albany International,11731.0,1987-09-30
Anchor Savings and Loan,11730.0,1987-09-30
Gen-Probe,11735.0,1987-09-30
H.M.S.S.,11736.0,1987-09-30
Summagraphics,11727.0,1987-09-30
IBP,75227.0,1987-10-01
