PERMNO,date,RET,sprtrn
10002,2002-01-31,0.001011,-0.015574
10002,2002-02-28,0.085354,-0.020766
10002,2002-03-28,-0.072941,0.036739
10002,2002-04-30,0.228426,-0.061418
10002,2002-05-31,0.004132,-0.009081
10002,2002-06-28,0.009877,-0.072465
10002,2002-07-31,-0.094650,-0.078995
10002,2002-08-30,0.022727,0.004881
10002,2002-09-30,-0.039200,-0.110013
10002,2002-10-31,0.009449,0.086436
10002,2002-11-29,-0.017609,0.05707
10002,2002-12-31,0.058491,-0.060333
10002,2003-01-31,0.063964,-0.027415
10002,2003-02-28,0.121931,-0.017004
10002,2003-03-31,0.096604,0.008358
10002,2003-04-30,0.104236,0.081044
10002,2003-05-30,-0.022074,0.050899
10002,2003-06-30,0.041158,0.011322
10002,2003-07-31,-0.000623,0.016224
10002,2003-08-29,0.002492,0.017873
10002,2003-09-30,-0.053449,-0.011944
10002,2003-10-31,0.021854,0.054962
10002,2003-11-28,0.022683,0.007129
10002,2003-12-31,0.023447,0.050765
10002,2004-01-30,0.005618,0.017276
10002,2004-02-27,0.120422,0.012209
10002,2004-03-31,-0.023823,-0.016359
10002,2004-04-30,-0.036592,-0.016791
10002,2004-05-28,0.016024,0.012083
10002,2004-06-30,0.030958,0.017989
10002,2004-07-30,0.003425,-0.034291
10002,2004-08-31,0.022753,0.002287
10002,2004-09-30,0.052836,0.009364
10002,2004-10-29,0.010638,0.014014
10002,2004-11-30,0.121053,0.038595
10002,2004-12-31,0.161502,0.032458
10002,2005-01-31,-0.132466,-0.02529
10002,2005-02-28,-0.033255,0.018903
10002,2005-03-31,-0.013081,-0.019118
10002,2005-04-29,-0.066700,-0.020109
10002,2005-05-31,0.046586,0.029952
10002,2005-06-30,-0.005564,-0.000143
10002,2005-07-29,0.079365,0.035968
10002,2005-08-31,0.032732,-0.011222
10002,2005-09-30,-0.108406,0.006949
10002,2005-10-31,-0.044606,-0.017741
10002,2005-11-30,0.095548,0.035186
10002,2005-12-30,0.002478,-0.000952
10002,2006-01-31,0.029851,0.025467
10002,2006-02-28,0.065700,0.000453
10002,2006-03-31,0.009973,0.011065
10002,2006-04-28,-0.067269,0.012187
10002,2006-05-31,0.049371,-0.030917
10002,2006-06-30,0.088561,8.7e-05
10002,2006-07-31,0.171283,0.005086
10002,2006-08-31,-0.034194,0.021274
10002,2006-09-29,0.055367,0.024566
10002,2006-10-31,-0.121190,0.031508
10002,2006-11-30,-0.012240,0.016467
10002,2006-12-29,0.059480,0.012616
10002,2007-01-31,-0.158307,0.014059
10002,2007-02-28,0.033054,-0.021846
10002,2007-03-30,-0.040559,0.00998
10002,2007-04-30,-0.053403,0.043291
10002,2007-05-31,0.000499,0.032549
10002,2007-06-29,0.054391,-0.017816
10002,2007-07-31,-0.167619,-0.031982
10002,2007-08-31,-0.070938,0.012864
10002,2007-09-28,-0.009852,0.035794
10002,2007-10-31,-0.154232,0.014822
10002,2007-11-30,-0.077094,-0.044043
10002,2007-12-31,-0.017671,-0.008628
10002,2008-01-31,0.020661,-0.061163
10002,2008-02-29,-0.110122,-0.034761
10002,2008-03-31,-0.010009,-0.00596
10002,2008-04-30,0.010233,0.047547
10002,2008-05-30,-0.073665,0.010674
10002,2008-06-30,-0.332008,-0.085962
10002,2008-07-31,0.138088,-0.009859
10002,2008-08-29,0.125333,0.012191
10002,2008-09-30,0.569905,-0.090791
10002,2008-10-31,-0.050305,-0.169425
10002,2008-11-28,0.001605,-0.074849
10002,2008-12-31,0.193109,0.007822
10002,2009-01-30,-0.399052,-0.085657
10002,2009-02-27,-0.312289,-0.109931
10002,2009-03-31,0.041803,0.085405
10002,2009-04-30,0.039494,0.093925
10002,2009-05-29,-0.366261,0.053081
10002,2009-06-30,-0.282974,0.000196
10002,2009-07-31,-0.070470,0.074142
10002,2009-08-31,0.342960,0.03356
10002,2009-09-30,-0.040323,0.035723
10002,2009-10-30,-0.100840,-0.019762
10002,2009-11-30,-0.137072,0.057364
10002,2009-12-31,0.036101,0.017771
10002,2010-01-29,0.365854,-0.036974
10002,2010-02-26,0.155612,0.028514
10002,2010-03-31,0.070640,0.058796
10002,2010-04-30,0.276289,0.014759
10002,2010-05-28,-0.284330,-0.081976
10002,2010-06-30,-0.164786,-0.053882
10002,2010-07-30,-0.170270,0.068778
10002,2010-08-31,0.009772,-0.047449
10002,2010-09-30,-0.016129,0.087551
10002,2010-10-29,-0.055738,0.036856
10002,2010-11-30,-0.128472,-0.00229
10002,2010-12-31,0.063745,0.0653
10002,2011-01-31,0.041198,0.022646
10002,2011-02-28,-0.050360,0.031957
10002,2011-03-31,-0.068182,-0.001047
10002,2011-04-29,0.016260,0.028495
10002,2011-05-31,-0.024000,-0.013501
10002,2011-06-30,0.053279,-0.018258
10002,2011-07-29,-0.077821,-0.021474
10002,2011-08-31,-0.029536,-0.056791
10002,2011-09-30,0.000000,-0.071762
10002,2011-10-31,-0.320174,0.107723
10002,2011-11-30,0.106421,-0.005059
10002,2011-12-30,-0.283237,0.008533
10002,2012-01-31,0.032258,0.043583
10002,2012-02-29,0.015625,0.040589
10002,2012-03-30,0.115385,0.031332
10002,2012-04-30,0.434483,-0.007497
10002,2012-05-31,0.413462,-0.062651
10002,2012-06-29,0.017007,0.039555
10002,2012-07-31,-0.010033,0.012598
10002,2012-08-31,-0.020270,0.019763
10002,2012-09-28,0.027586,0.024236
10002,2012-10-31,-0.043624,-0.019789
10002,2012-11-30,-0.035123,0.002847
10002,2012-12-31,0.010946,0.007068
10002,2013-01-31,0.035971,0.050428
10002,2013-02-28,,0.011061
10003,1985-12-31,,0.045061
10003,1986-01-31,C,0.002367
10003,1986-02-28,0.011364,0.071489
10003,1986-03-31,-0.011236,0.052794
10003,1986-04-30,-0.062500,-0.014148
10003,1986-05-30,-0.006061,0.050229
10003,1986-06-30,0.060976,0.01411
10003,1986-07-31,-0.114943,-0.058683
10003,1986-08-29,0.012987,0.071193
10003,1986-09-30,-0.057692,-0.085439
10003,1986-10-31,0.129252,0.054729
10003,1986-11-28,-0.024096,0.021477
10003,1986-12-31,-0.049383,-0.028288
10003,1987-01-30,0.129870,0.131767
10003,1987-02-27,0.011494,0.036924
10003,1987-03-31,0.000000,0.02639
10003,1987-04-30,-0.051136,-0.01145
10003,1987-05-29,-0.125749,0.006034
10003,1987-06-30,-0.027397,0.047915
10003,1987-07-31,-0.049296,0.048224
10003,1987-08-31,0.065185,0.034959
10003,1987-09-30,-0.041958,-0.024166
10003,1987-10-30,-0.226277,-0.21763
10003,1987-11-30,0.113208,-0.085349
10003,1987-12-31,-0.034483,0.072861
10003,1988-01-29,0.339286,0.040432
10003,1988-02-29,0.026667,0.041817
10003,1988-03-31,0.026316,-0.033343
10003,1988-04-29,-0.089744,0.009425
10003,1988-05-31,0.063380,0.003176
10003,1988-06-30,0.127517,0.043256
10003,1988-07-29,0.059524,-0.005411
10003,1988-08-31,-0.056180,-0.0386
10003,1988-09-30,-0.108434,0.039729
10003,1988-10-31,0.027027,0.025964
10003,1988-11-30,0.000000,-0.018891
10003,1988-12-30,0.013333,0.014688
10003,1989-01-31,-0.039474,0.071115
10003,1989-02-28,-0.054795,-0.028944
10003,1989-03-31,0.073529,0.020806
10003,1989-04-28,-0.054795,0.05009
10003,1989-05-31,0.123188,0.035138
10003,1989-06-30,-0.189542,-0.007925
10003,1989-07-31,0.032258,0.08837
10003,1989-08-31,0.126563,0.015517
10003,1989-09-29,-0.070423,-0.006544
10003,1989-10-31,-0.196970,-0.025175
10003,1989-11-30,-0.132075,0.016541
10003,1989-12-29,-0.260870,0.021417
10003,1990-01-31,-0.088235,-0.068817
10003,1990-02-28,0.258065,0.008539
10003,1990-03-30,-0.179487,0.024255
10003,1990-04-30,-0.125000,-0.026887
10003,1990-05-31,0.000000,0.091989
10003,1990-06-29,-0.178571,-0.008886
10003,1990-07-31,-0.130435,-0.005223
10003,1990-08-31,0.225000,-0.094314
10003,1990-09-28,-0.367347,-0.051184
10003,1990-10-31,0.032258,-0.006698
10003,1990-11-30,-0.187500,0.059934
10003,1990-12-31,-0.230769,0.024828
10003,1991-01-31,0.050000,0.041518
10003,1991-02-28,0.142857,0.067281
10003,1991-03-28,-0.041667,0.022203
10003,1991-04-30,0.000000,0.000346
10003,1991-05-31,0.260870,0.038577
10003,1991-06-28,-0.310345,-0.047893
10003,1991-07-31,0.200000,0.044859
10003,1991-08-30,-0.041667,0.019649
10003,1991-09-30,-0.043478,-0.019144
10003,1991-10-31,-0.272727,0.01186
10003,1991-11-29,-0.187500,-0.043928
10003,1991-12-31,-0.269231,0.111588
10003,1992-01-31,1.736842,-0.0199
10003,1992-02-28,-0.153846,0.009565
10003,1992-03-31,0.136364,-0.021832
10003,1992-04-30,-0.060000,0.027893
10003,1992-05-29,0.106383,0.000964
10003,1992-06-30,-0.173077,-0.017359
10003,1992-07-31,-0.255814,0.039374
10003,1992-08-31,0.062500,-0.023998
10003,1992-09-30,0.294118,0.009106
10003,1992-10-30,-0.272727,0.002106
10003,1992-11-30,0.375000,0.030262
10003,1992-12-31,0.409091,0.010108
10003,1993-01-29,0.225806,0.007046
10003,1993-02-26,-0.078947,0.010484
10003,1993-03-31,-0.028571,0.018697
10003,1993-04-30,-0.176471,-0.025417
10003,1993-05-28,-0.071429,0.022717
10003,1993-06-30,-0.019231,0.000755
10003,1993-07-30,0.098039,-0.005327
10003,1993-08-31,0.000000,0.034432
10003,1993-09-30,0.035714,-0.009988
10003,1993-10-29,-0.172414,0.019393
10003,1993-11-30,-0.083333,-0.012911
10003,1993-12-31,-0.068182,0.010091
10003,1994-01-31,0.073171,0.032501
10003,1994-02-28,-0.090909,-0.030045
10003,1994-03-31,0.050000,-0.045746
10003,1994-04-29,0.000000,0.011531
10003,1994-05-31,0.190476,0.012419
10003,1994-06-30,-0.100000,-0.026812
10003,1994-07-29,0.022222,0.031467
10003,1994-08-31,-0.086957,0.037643
10003,1994-09-30,-0.095238,-0.026898
10003,1994-10-31,0.157895,0.020834
10003,1994-11-30,-0.090909,-0.039505
10003,1994-12-30,-0.100000,0.012299
10003,1995-01-31,-0.055556,0.024278
10003,1995-02-28,0.029412,0.036074
10003,1995-03-31,-0.085714,0.027329
10003,1995-04-28,0.500000,0.02796
10003,1995-05-31,-0.125000,0.036312
10003,1995-06-30,0.523810,0.021279
10003,1995-07-31,0.156250,0.031776
10003,1995-08-31,0.081081,-0.00032
10003,1995-09-29,0.075000,0.040098
10003,1995-10-31,-0.046512,-0.004979
10003,1995-11-30,0.048780,0.041049
10003,1995-12-29,,0.017444
10008,1985-12-31,,0.045061
10008,1986-01-31,C,0.002367
10008,1986-02-28,0.119658,0.071489
10008,1986-03-31,0.083969,0.052794
10008,1986-04-30,0.028169,-0.014148
10008,1986-05-30,-0.013699,0.050229
10008,1986-06-30,-0.048611,0.01411
10008,1986-07-31,-0.153285,-0.058683
10008,1986-08-29,-0.060345,0.071193
10008,1986-09-30,-0.155963,-0.085439
10008,1986-10-31,0.086957,0.054729
10008,1986-11-28,0.100000,0.021477
10008,1986-12-31,0.090909,-0.028288
10008,1987-01-30,0.000000,0.131767
10008,1987-02-27,0.050000,0.036924
10008,1987-03-31,0.103175,0.02639
10008,1987-04-30,-0.050360,-0.01145
10008,1987-05-29,-0.060606,0.006034
10008,1987-06-30,-0.032258,0.047915
10008,1987-07-31,0.000000,0.048224
10008,1987-08-31,0.200000,0.034959
10008,1987-09-30,-0.125000,-0.024166
10008,1987-10-30,-0.222222,-0.21763
10008,1987-11-30,-0.306122,-0.085349
10008,1987-12-31,0.235294,0.072861
10008,1988-01-29,0.119048,0.040432
10008,1988-02-29,0.148936,0.041817
10008,1988-03-31,0.018519,-0.033343
10008,1988-04-29,0.127273,0.009425
10008,1988-05-31,-0.048387,0.003176
10008,1988-06-30,0.169492,0.043256
10008,1988-07-29,0.130435,-0.005411
10008,1988-08-31,-0.025641,-0.0386
10008,1988-09-30,0.131579,0.039729
10008,1988-10-31,0.290698,0.025964
10008,1988-11-30,,-0.018891
10010,1985-12-31,,0.045061
10010,1986-01-31,C,0.002367
10010,1986-02-28,-0.137500,0.071489
10010,1986-03-31,0.115942,0.052794
10010,1986-04-30,-0.129870,-0.014148
10010,1986-05-30,-0.059701,0.050229
10010,1986-06-30,0.063492,0.01411
10010,1986-07-31,-0.261194,-0.058683
10010,1986-08-29,0.010101,0.071193
10010,1986-09-30,-0.380000,-0.085439
10010,1986-10-31,0.096774,0.054729
10010,1986-11-28,-0.132353,0.021477
10010,1986-12-31,0.355932,-0.028288
10010,1987-01-30,0.025000,0.131767
10010,1987-02-27,0.146341,0.036924
10010,1987-03-31,0.340426,0.02639
10010,1987-04-30,-0.063492,-0.01145
10010,1987-05-29,0.016949,0.006034
10010,1987-06-30,0.200000,0.047915
10010,1987-07-31,0.166667,0.048224
10010,1987-08-31,-0.095238,0.034959
10010,1987-09-30,0.052632,-0.024166
10010,1987-10-30,-0.350000,-0.21763
10010,1987-11-30,0.000000,-0.085349
10010,1987-12-31,0.269231,0.072861
10010,1988-01-29,-0.060606,0.040432
10010,1988-02-29,0.129032,0.041817
10010,1988-03-31,0.228571,-0.033343
10010,1988-04-29,-0.046512,0.009425
10010,1988-05-31,0.024390,0.003176
10010,1988-06-30,0.023810,0.043256
10010,1988-07-29,-0.023256,-0.005411
10010,1988-08-31,0.071429,-0.0386
10010,1988-09-30,0.000000,0.039729
10010,1988-10-31,-0.133333,0.025964
10010,1988-11-30,-0.153846,-0.018891
10010,1988-12-30,0.090909,0.014688
10010,1989-01-31,0.027778,0.071115
10010,1989-02-28,0.324324,-0.028944
10010,1989-03-31,-0.040816,0.020806
10010,1989-04-28,0.042553,0.05009
10010,1989-05-31,-0.102041,0.035138
10010,1989-06-30,-0.181818,-0.007925
10010,1989-07-31,0.277778,0.08837
